INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
33349-02,CNDOGMQT1001E,ge-0/0/4.365,10.117.181.153,10.117.181.154
49442-01,CNDOGMQT1001E,ge-0/0/4.366,10.117.219.133,10.117.219.134
16079-05,CNDOGMQT1001E,ge-0/0/4.369,10.114.209.73,10.114.209.74
18621-04,CNDOGMQT1001E,ge-0/0/4.367,192.168.248.57,192.168.248.58
49546-01,CNDOGMQT1001E,ge-0/0/4.368,10.122.11.233,10.122.11.234
49701-01,CNDOGMQT1001E,ge-0/0/4.370,10.122.92.189,10.122.92.190
50064-01,CNDOGMQT1001E,ge-0/0/4.372,10.117.134.93,10.117.134.94
50066-01,CNDOGMQT1001E,ge-0/0/4.371,10.117.183.13,10.117.183.14
50940-01,CNDOGMQT1001E,ge-0/0/4.373,10.122.99.57,10.122.99.58
