INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
28058-02,CNTIJLAT1001E,ge-1/0/0.102,172.30.5.45,172.30.5.46
38550-01,CNTIJLAT1001E,ge-0/0/0.303,10.200.6.201,10.200.6.202
39219-01,CNTIJLAT1001E,e1-0/3/1,10.117.140.181,10.117.140.182
21574-04,CNTIJLAT1001E,ge-0/0/0.302,10.212.185.77,10.212.185.78
43326-01,CNTIJLAT1001E,ge-0/0/0.305,192.168.253.5,192.168.253.6
44975-01,CNTIJLAT1001E,ge-0/0/0.308,10.122.83.161,10.122.83.162
44987-01,CNTIJLAT1001E,ge-0/0/0.307,100.66.0.41,100.66.0.42
42097-02,CNTIJLAT1001E,ge-0/0/0.110,62.5.100.45,62.5.100.46
25855-03,CNTIJLAT1001E,ge-0/0/0.102,172.16.2.145,172.16.2.146
