INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
35465-01,CNSHHCJX1002E,xe-1/0/0.113,,
37532-01,,,,
37533-01,,,10.117.188.177,10.117.188.178
