INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
10805-04,CNSHHCJX1001E,xe-1/0/0.389,10.114.83.225,10.114.83.226
30434-01,CNSHHCJX1001E,xe-1/0/0.310,192.168.8.65,192.168.8.66
04217-08,CNSHHCJX1001E,xe-1/0/0.317,10.117.159.209,10.117.159.210
31156-01,CNSHHCJX1001E,xe-1/0/0.340,172.31.129.237,172.31.129.238
31394-01,CNSHHCJX1001E,xe-1/0/0.384,10.117.167.33,10.117.167.34
31413-01,CNSHHCJX1001E,xe-1/0/0.387,172.30.255.245,172.30.255.246
31474-01,CNSHHCJX1001E,xe-1/0/0.392,62.5.101.9,62.5.101.10
31535-01,CNSHHCJX1001E,xe-1/0/0.371,192.168.129.137,192.168.129.138
31797-01,CNSHHCJX1001E,xe-1/0/0.368,198.19.56.81,198.19.56.82
31831-01,CNSHHCJX1001E,xe-1/0/0.367,20.20.20.9,20.20.20.10
16481-03,CNSHHCJX1001E,xe-1/0/0.365,198.90.254.17,198.90.254.18
32069-01,CNSHHCJX1001E,xe-1/0/0.353,192.168.127.225,192.168.127.226
32118-01,CNSHHCJX1001E,xe-1/0/0.320,100.68.221.33,100.68.221.34
33680-01,CNSHHCJX1001E,xe-1/0/0.329,10.117.185.61,10.117.185.62
31700-02,CNSHHCJX1001E,xe-1/0/0.378,10.117.166.1,10.117.166.2
36063-01,CNSHHCJX1001E,xe-1/0/0.307,100.66.0.81,100.66.0.82
36110-01,CNSHHCJX1001E,xe-1/0/0.319,10.184.0.66,10.184.0.65
36155-01,CNSHHCJX1001E,xe-1/0/0.308,10.100.0.122,10.100.0.121
36222-01,CNSHHCJX1001E,xe-1/0/0.327,,
36241-01,CNSHHCJX1001E,xe-1/0/0.341,10.117.204.237,10.117.204.238
36420-01,CNSHHCJX1001E,xe-1/0/0.342,220.232.31.121,220.232.31.122
36268-02,CNSHHCJX1001E,xe-1/0/0.331,10.117.219.197,10.117.219.198
38263-01,CNSHHCJX1001E,xe-1/0/0.312,10.1.0.9,10.1.0.10
33682-03,CNSHHCJX1001E,xe-1/0/0.313,10.117.185.65,10.117.185.66
38520-01,CNSHHCJX1001E,xe-1/0/0.318,10.200.6.157,10.200.6.158
31144-02,CNSHHCJX1001E,xe-1/0/0.314,10.126.25.25,10.126.25.26
33837-02,CNSHHCJX1001E,xe-1/0/0.334,198.19.68.65,198.19.68.66
30498-02,CNSHHCJX1001E,xe-1/0/0.311,192.168.0.21,192.168.0.22
32140-02,CNSHHCJX1001E,xe-1/0/0.359,143.62.239.93,143.62.239.94
33850-03,CNSHHCJX1001E,xe-1/0/0.390,198.19.68.73,198.19.68.74
31697-02,CNSHHCJX1001E,xe-1/0/0.379,10.121.128.93,10.121.128.94
20391-04,CNSHHCJX1001E,xe-1/0/0.348,192.168.197.53,192.168.197.54
32685-02,CNSHHCJX1001E,xe-1/0/0.324,10.252.3.81,10.252.3.82
33227-03,CNSHHCJX1001E,xe-1/0/0.163,117.58.185.173,117.58.185.174
38351-05,CNSHHCJX1001E,xe-1/0/0.601,192.8.156.157,192.8.156.158
30352-03,CNSHHCJX1001E,xe-1/0/0.302,10.117.134.65,10.117.134.66
