INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
25021-01,DEFRAEQX1001E,ge-0/1/0.1651,10.117.70.69,10.117.70.70
28343-01,DEFRAEQX1001E,ge-0/1/0.1657,10.117.89.149,10.117.84.18
28461-01,DEFRAEQX1001E,ge-0/1/0.1657,10.117.89.149,10.117.89.150
31057-01,UKLONCOR1002E,ge-0/1/2.1659,10.117.161.221,10.117.161.62
31132-01,UKLONCOR1002E,ge-0/1/2.1659,10.117.161.221,10.117.161.222
23870-02,UKLONCOR1002E,ge-0/1/2.1651,10.117.70.65,195.81.175.218
33739-01,DEFRAEQX1001E,ge-0/1/0.1662,10.117.179.101,10.117.181.50
33978-01,DEFRAEQX1001E,ge-0/1/0.1662,10.117.179.101,10.117.179.102
38045-01,UKLONCOR1002E,ge-0/1/2.1654,10.117.231.113,10.117.87.110
38071-01,UKLONCOR1002E,ge-0/1/2.1654,10.117.231.113,10.117.231.114
38326-01,UKLONCOR1002E,ge-0/1/2.1669,10.117.193.77,10.117.232.66
38457-01,UKLONCOR1002E,ge-0/1/2.1669,10.117.193.77,10.117.193.78
50076-01,DEFRAEQX1001E,ge-0/1/0.1663,192.168.86.69,192.168.86.66
50101-01,DEFRAEQX1001E,ge-0/1/0.1663,192.168.86.69,192.168.86.70
