INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
23156-01,CNGUZYUJ1002E,ge-0/1/1.375,172.23.14.249,172.23.14.250
16287-02,CNGUZYUJ1001E,ds-2/0/0:59:1,10.114.218.109,10.114.218.110
30737-01,CNGUZKXC1002E,ds-1/0/0:5:1,10.117.139.5,10.117.139.6
30838-01,CNGUZKXC1002E,ds-1/0/0:8:1,10.117.159.97,10.117.159.98
30891-01,CNGUZYUJ1001E,ge-0/1/1.361,,
31205-01,CNGUZYUJ1001E,ds-2/0/0:57:1,10.117.141.213,10.117.141.214
32290-01,CNGUZYUJ1002E,ds-1/0/0:22:1,10.117.168.33,10.117.168.34
18884-02,CNGUZYUJ1001E,ge-0/0/4.394,10.210.252.45,10.210.252.46
32650-01,CNGUZYUJ1001E,ds-1/0/0:1:1,10.117.143.233,10.117.143.234
26129-04,CNGUZYUJ1001E,ge-0/1/1.319,10.117.85.197,10.117.85.198
31110-02,CNGUZYUJ1001E,ge-0/1/1.360,10.241.241.161,10.241.241.162
33951-01,CNGUZYUJ1002E,ge-0/1/1.302,10.117.187.53,10.117.187.54
34091-01,CNGUZYUJ1001E,ge-0/1/1.322,10.237.1.61,10.237.1.62
15867-05,CNGUZYUJ1001E,ge-0/1/1.304,10.114.218.53,10.114.218.54
36185-01,CNGUZYUJ1001E,ge-0/0/4.403,10.118.5.113,10.118.5.114
12935-06,CNGUZYUJ1002E,ge-0/1/1.369,10.114.114.73,10.114.114.74
36667-01,CNGUZYUJ1001E,ge-0/0/0.150,172.25.142.21,172.25.142.22
15110-07,CNGUZYUJ1002E,ge-0/1/1.365,10.114.122.149,10.114.122.150
29890-02,CNGUZYUJ1001E,ge-0/1/1.350,10.117.137.125,10.117.137.126
26354-03,CNGUZYUJ1002E,ge-0/1/1.410,192.168.6.133,192.168.6.134
38163-01,CNGUZYUJ1001E,ge-0/1/1.323,114.28.0.33,114.28.0.34
38908-01,CNGUZYUJ1001E,ge-0/0/0.116,62.5.101.77,62.5.101.78
39489-01,CNGUZYUJ1002E,ge-0/1/0.103,198.19.12.177,198.19.12.178
39636-01,CNGUZYUJ1001E,ge-0/1/1.353,10.117.89.225,10.117.89.226
10516-05,CNGUZYUJ1001E,ds-1/0/0:22:1,10.114.76.93,10.114.76.94
40063-01,CNGUZYUJ1001E,ge-0/1/1.326,10.117.89.61,10.117.89.62
34341-02,CNGUZYUJ1001E,ge-0/0/4.373,10.33.33.49,10.33.33.50
40156-01,CNGUZYUJ1002E,ge-0/1/1.313,10.122.3.217,10.122.3.218
27757-02,CNGUZYUJ1001E,ge-0/0/4.372,10.117.119.93,10.117.119.94
01558-06,CNGUZYUJ1001E,ge-0/1/1.315,10.114.20.129,10.114.20.130
40434-01,CNGUZYUJ1002E,ge-0/1/1.306,192.168.190.45,192.168.190.46
32279-02,CNGUZYUJ1001E,ge-0/0/1.504,,
40966-01,CNGUZYUJ1002E,ge-0/1/4.335,10.122.21.177,10.122.21.178
40949-01,CNGUZYUJ1001E,ge-0/1/1.359,,
20986-03,CNGUZYUJ1001E,ge-0/1/1.343,10.117.3.133,10.117.3.134
20979-06,CNGUZYUJ1002E,ge-0/1/1.359,10.117.3.141,10.117.3.142
41621-01,CNGUZYUJ1002E,ge-0/1/4.344,172.16.21.34,172.16.21.33
27560-05,CNGUZYUJ1001E,ge-0/0/0.219,62.5.102.97,62.5.102.98
22821-03,CNGUZYUJ1001E,ge-0/0/0.121,172.16.2.53,172.16.2.54
22784-04,CNGUZYUJ1001E,ge-0/1/1.331,10.146.252.61,10.146.252.62
11454-07,CNGUZYUJ1002E,ge-0/1/1.387,10.114.97.29,10.114.97.30
42371-01,CNGUZYUJ1002E,ge-0/1/4.350,10.16.8.89,10.16.8.90
33612-02,CNGUZYUJ1002E,ge-0/1/0.104,198.19.196.225,198.19.196.226
27695-03,CNGUZYUJ1002E,ge-0/1/4.307,10.117.89.113,10.117.89.114
42476-01,CNGUZYUJ1002E,ge-0/1/4.304,10.200.7.181,10.200.7.182
31714-03,CNGUZYUJ1001E,ge-0/0/4.377,10.117.167.45,10.117.167.46
39703-02,CNGUZYUJ1001E,ge-0/0/0.132,100.65.0.1,100.65.0.2
38770-02,CNGUZYUJ1002E,ge-0/1/0.135,100.65.0.29,100.65.0.30
22880-04,CNGUZYUJ1001E,ge-0/1/1.332,202.76.119.65,202.76.119.66
43324-01,CNGUZYUJ1001E,ge-0/0/6.511,100.69.49.225,100.69.49.226
43930-01,CNGUZYUJ1001E,ge-0/1/1.303,10.98.1.5,10.98.1.6
44009-01,CNGUZYUJ1002E,ge-0/0/6.450,62.5.101.73,62.5.101.74
28590-02,CNGUZYUJ1002E,ge-0/1/1.389,10.11.254.9,10.11.254.10
29850-04,CNGUZYUJ1002E,ge-0/1/1.326,62.5.100.1,62.5.100.2
34857-02,CNGUZYUJ1001E,ge-0/0/4.387,10.117.121.141,10.117.121.142
37279-03,CNGUZYUJ1001E,ge-0/0/1.103,152.101.22.1,152.101.22.2
40469-02,CNGUZYUJ1002E,ge-0/1/0.117,10.117.159.85,10.117.159.86
02840-06,CNGUZYUJ1002E,ge-0/1/4.346,10.114.31.229,10.114.31.230
42017-02,CNGUZYUJ1001E,ge-0/0/4.376,10.122.0.253,10.122.0.254
26143-02,CNGUZYUJ1002E,ge-0/1/1.393,198.19.17.113,198.19.17.114
41106-02,CNGUZYUJ1002E,ge-0/1/1.316,10.117.238.141,10.117.238.142
03192-07,CNGUZYUJ1002E,ge-0/1/1.401,10.114.50.41,10.114.50.42
33767-02,CNGUZKXC1001E,ge-0/0/3.307,10.117.82.57,10.117.82.58
23345-03,CNGUZYUJ1001E,ge-0/0/4.368,10.117.36.5,10.117.36.6
27757-03,CNGUZYUJ1001E,ge-0/0/4.372,10.117.119.93,10.117.119.94
30838-02,,,,
30737-02,,,,
