INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
23156-01,CNGUZYUJ1002E,ge-0/1/1.375,172.23.14.249,172.23.14.250
15760-04,CNGUZYUJ1001E,ds-2/0/0:56:1,10.114.218.85,10.114.218.86
29766-01,CNGUZKXC1002E,ge-0/0/4.517,10.117.136.129,10.117.136.130
30737-01,CNGUZKXC1002E,ds-1/0/0:5:1,10.117.139.5,10.117.139.6
32650-01,CNGUZYUJ1001E,ds-1/0/0:1:1,10.117.143.233,10.117.143.234
28624-02,CNGUZYUJ1001E,ge-0/0/4.391,10.117.122.161,10.117.122.162
26129-04,CNGUZYUJ1001E,ge-0/1/1.319,10.117.85.197,10.117.85.198
33737-01,CNGUZYUJ1001E,ds-2/0/0:13:1,10.117.85.201,10.117.85.202
34091-01,CNGUZYUJ1001E,ge-0/1/1.322,10.237.1.61,10.237.1.62
31219-02,CNGUZYUJ1001E,ge-0/0/4.369,10.117.160.245,10.117.160.246
27757-02,CNGUZYUJ1001E,ge-0/0/4.372,10.117.119.93,10.117.119.94
40911-01,CNGUZYUJ1002E,ge-0/1/4.340,10.122.21.89,10.122.21.90
40949-01,CNGUZYUJ1001E,ge-0/1/1.359,,
20986-03,CNGUZYUJ1001E,ge-0/1/1.343,10.117.3.133,10.117.3.134
41411-01,CNGUZYUJ1002E,ge-0/1/4.345,192.168.222.173,192.168.222.174
11232-08,CNGUZYUJ1001E,ge-0/1/1.347,172.24.51.9,172.24.51.10
22821-03,CNGUZYUJ1001E,ge-0/0/0.121,172.16.2.53,172.16.2.54
43932-01,CNGUZYUJ1001E,ge-0/0/6.508,10.95.37.17,10.95.37.18
44145-01,CNGUZYUJ1002E,ge-0/0/6.453,10.122.84.245,10.122.84.246
37279-03,CNGUZYUJ1001E,ge-0/0/1.103,152.101.22.1,152.101.22.2
40469-02,CNGUZYUJ1002E,ge-0/1/0.117,10.117.159.85,10.117.159.86
38354-02,CNGUZYUJ1002E,ge-0/1/1.305,10.122.3.173,10.122.3.174
33842-03,CNGUZYUJ1002E,ge-0/1/0.122,111.92.198.125,111.92.198.126
37581-03,CNGUZYUJ1001E,ge-0/0/6.504,10.172.122.105,10.172.122.106
37493-02,CNGUZYUJ1001E,ge-0/0/4.408,10.6.61.129,10.6.61.130
41411-02,CNGUZYUJ1002E,ge-0/1/4.345,192.168.222.173,192.168.222.174
42017-02,CNGUZYUJ1001E,ge-0/0/4.376,10.122.0.253,10.122.0.254
23345-03,CNGUZYUJ1001E,ge-0/0/4.368,10.117.36.5,10.117.36.6
27757-03,CNGUZYUJ1001E,ge-0/0/4.372,10.117.119.93,10.117.119.94
30737-02,,,,
