INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
37566-01,CNBEJDEX1001VE,xe-1/2/0.317,10.117.232.237,10.117.232.238
40138-01,CNBEJDEX1001VE,xe-1/2/0.318,10.122.2.181,10.122.2.182
44996-01,CNBEJDEX1001VE,xe-1/2/0.323,10.122.91.33,10.122.91.34
45280-01,CNBEJDEX1001VE,xe-1/2/0.324,10.117.180.45,10.117.180.46
45889-01,CNBEJDEX1001VE,xe-1/2/0.325,10.117.140.81,10.117.140.82
42420-02,CNBEJDEX1001VE,xe-1/2/0.320,10.117.138.69,10.117.138.70
49764-01,,,10.122.9.33,10.122.9.34
50148-01,,,10.122.100.241,10.122.100.242
50150-01,,,10.122.100.249,10.122.100.250
41831-02,CNBEJDEX1001VE,xe-1/2/0.321,10.127.134.25,10.127.134.26
36864-04,CNBEJDEX1001VE,xe-1/2/0.308,10.117.205.9,10.117.205.10
