INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
39856-01,VNSGNVNP1002E,ge-0/0/9.120,10.117.204.21,10.117.204.22
41074-01,VNSGNVNP1002E,ge-0/0/9.112,10.117.180.77,10.117.180.78
50767-01,VNSGNVNP1001E,ge-0/0/9.139,10.117.88.25,10.117.88.26
51033-01,VNSGNVNP1002E,ge-0/0/9.119,10.122.106.45,10.122.106.46
51034-01,VNSGNVNP1001E,ge-0/0/9.109,10.122.106.49,10.122.106.50
51035-01,VNSGNVNP1002E,ge-0/0/9.121,10.122.106.53,10.122.106.54
51036-01,VNSGNVNP1001E,ge-0/0/9.110,10.122.116.253,10.122.116.254
51037-01,VNSGNVNP1002E,ge-0/0/9.111,10.122.106.61,10.122.106.62
