INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
36279-01,CNSUZCYY1003E,ge-0/0/5.431,100.65.60.209,100.65.60.210
32426-02,CNSUZCYY1004E,ge-0/1/1.314,10.117.169.81,10.117.169.82
36905-01,CNSUZCYY1004E,ge-0/1/1.339,10.117.231.149,10.117.231.150
37008-01,CNSUZCYY1004E,ge-0/1/1.341,172.17.3.1,172.17.3.2
37159-01,CNSUZCYY1004E,ge-0/1/1.301,172.24.16.1,172.24.16.2
37232-01,CNSUZCYY1004E,ge-0/1/1.342,172.31.68.65,172.31.68.66
30204-02,CNSUZCYY1003E,ge-0/0/5.434,192.168.16.237,192.168.16.238
27487-03,CNSUZCYY1003E,ge-0/0/5.436,62.5.100.5,62.5.100.6
32559-02,CNSUZCYY1003E,ge-0/0/5.440,62.5.100.73,62.5.100.74
32692-02,CNSUZCYY1003E,ge-0/0/5.441,100.65.0.81,100.65.0.82
29378-03,CNSUZCYY1003E,ge-0/0/5.447,,
36208-02,CNSUZCYY1003E,ge-0/0/5.452,10.255.3.185,10.255.3.186
37364-01,CNSUZCYY1004E,ge-0/1/1.344,192.168.1.5,192.168.1.6
37420-01,CNSUZCYY1004E,ge-0/1/1.343,10.128.5.1,10.128.5.2
37435-01,CNSUZCYY1001E,ds-0/2/0:25:1,10.117.204.105,10.117.204.106
37436-01,CNSUZCYY1001E,ds-0/2/0:26:1,10.117.204.109,10.117.204.110
32806-02,CNSUZCYY1003E,ge-0/0/8,10.17.69.177,10.17.69.178
37583-01,CNSUZCYY1004E,ge-0/1/1.345,10.172.122.53,10.172.122.54
37624-01,CNSUZCYY1004E,ge-0/1/1.346,10.117.134.209,10.117.134.210
37780-01,CNSUZCYY1004E,ge-0/1/1.348,10.198.255.1,10.198.255.2
28040-04,CNSUZCYY1003E,ge-0/0/5.445,,
37886-01,CNSUZCYY1004E,ge-0/1/1.354,10.130.1.141,10.130.1.142
37929-01,CNSUZCYY1004E,ge-0/1/1.350,169.254.251.1,169.254.251.2
27350-03,CNSUZCYY1003E,ge-0/0/5.433,62.5.102.33,62.5.102.34
38031-01,CNSUZCYY1003E,ge-0/0/5.461,10.117.83.209,10.117.83.210
38038-01,CNSUZCYY1004E,ge-0/1/1.352,10.117.166.109,10.117.166.110
38236-01,CNSUZCYY1004E,ge-0/1/1.357,10.117.239.137,10.117.239.138
38373-01,CNSUZCYY1003E,ge-0/0/5.458,10.117.142.33,10.117.142.34
38595-01,CNSUZCYY1003E,ge-0/0/5.459,27.114.246.69,27.114.246.70
38602-01,CNSUZCYY1003E,ge-0/0/5.463,117.58.180.109,117.58.180.110
38689-01,CNSUZCYY1004E,ge-0/1/0.1104,10.122.1.33,10.122.1.34
38772-01,CNSUZCYY1003E,ge-0/0/5.460,100.65.0.33,100.65.0.34
38903-01,CNSUZCYY1001E,ds-0/2/0:28:1,172.31.255.9,172.31.255.10
38935-01,CNSUZCYY1003E,ge-0/0/0.2026,10.1.1.1,10.1.1.2
17403-04,CNSUZCYY1004E,ge-0/1/1.308,172.25.246.25,172.25.246.26
39065-01,CNSUZCYY1004E,ge-0/1/0.1109,10.122.2.129,10.122.2.130
36053-02,CNSUZCYY1003E,ge-0/0/5.470,10.185.16.81,10.185.16.82
34706-02,CNSUZCYY1003E,ge-0/0/5.469,10.17.65.185,10.17.65.186
39153-01,CNSUZCYY1003E,ge-0/0/5.464,10.17.70.41,10.17.70.42
39157-01,CNSUZCYY1004E,ge-0/1/0.1114,10.117.238.133,10.117.238.134
34746-02,CNSUZCYY1003E,ge-0/0/5.468,10.17.66.65,10.17.66.66
39236-01,CNSUZCYY1003E,ge-0/0/5.448,10.117.182.169,10.117.182.170
39314-01,CNSUZCYY1003E,ge-0/0/0.2005,10.11.254.34,10.11.254.33
39416-01,CNSUZCYY1003E,ge-0/0/0.2006,10.117.133.205,10.117.133.206
39467-01,CNSUZCYY1003E,ge-0/0/0.2007,10.117.138.21,10.117.138.22
39655-01,CNSUZCYY1004E,ge-0/1/0.1118,172.30.24.66,172.30.24.65
39742-01,CNSUZCYY1003E,ge-0/0/0.2013,10.122.8.21,10.122.8.22
39808-01,CNSUZCYY1003E,ge-0/0/5.466,,
20610-03,CNSUZCYY1004E,ge-0/1/0.1101,10.114.87.181,10.114.87.182
39861-01,CNSUZCYY1004E,ge-0/1/1.334,10.117.219.37,10.117.219.38
40101-01,CNSUZCYY1004E,ge-0/1/0.1121,192.168.240.9,192.168.240.10
40150-01,CNSUZCYY1004E,ge-0/1/0.1122,10.117.159.25,10.117.159.26
40223-01,CNSUZCYY1004E,ge-0/1/0.1124,10.167.254.98,10.167.254.97
34922-02,CNSUZCYY1004E,ge-0/1/1.331,10.117.181.229,10.117.181.230
40537-01,CNSUZCYY1003E,ge-0/0/5.472,,
38308-02,CNSUZCYY1003E,ge-0/0/5.456,172.24.0.21,172.24.0.22
24975-02,CNSUZCYY1004E,ge-0/1/0.1103,10.114.219.85,10.114.219.86
40977-01,CNSUZCYY1003E,ge-0/0/0.2027,10.122.21.201,10.122.21.202
41187-01,CNSUZCYY1003E,ge-0/0/0.2028,10.122.10.49,10.122.10.50
41194-01,CNSUZCYY1003E,ge-0/0/0.2029,10.122.22.165,10.122.22.166
41407-01,CNSUZCYY1003E,ge-0/0/5.479,192.168.101.9,192.168.101.10
41424-01,CNSUZCYY1003E,ge-0/0/5.480,10.122.7.85,10.122.7.86
41298-01,CNSUZCYY1003E,ge-0/0/5.476,10.122.11.41,10.122.11.42
41342-01,CNSUZCYY1003E,ge-0/0/5.432,10.5.1.89,10.5.1.90
41457-01,CNSUZCYY1003E,ge-0/0/5.478,172.16.253.54,172.16.253.53
41458-01,CNSUZCYY1004E,ge-0/1/0.1125,172.16.253.62,172.16.253.61
41622-01,CNSUZCYY1003E,ge-0/0/5.481,10.122.39.33,10.122.39.34
42011-01,CNSUZCYY1003E,ge-0/0/5.483,10.122.1.133,10.122.1.134
29638-04,CNSUZCYY1003E,ge-0/0/5.437,192.168.16.129,192.168.16.130
23186-03,CNSUZCYY1004E,ge-0/1/0.1108,218.96.141.25,218.96.141.26
36723-03,CNSUZCYY1004E,ge-0/1/1.340,192.168.131.73,192.168.131.74
42537-01,CNSUZCYY1003E,ge-0/0/5.486,,
42593-01,CNSUZCYY1003E,ge-0/0/5.487,152.101.22.45,152.101.22.46
42703-01,CNSUZCYY1003E,ge-0/0/5.488,100.65.0.1,100.65.0.2
42791-01,CNSUZCYY1003E,ge-0/0/5.490,10.117.236.5,10.117.236.6
42756-01,CNSUZCYY1003E,ge-0/0/7.402,10.117.168.249,10.117.168.250
42789-01,CNSUZCYY1003E,ge-0/0/5.489,10.117.232.249,10.117.232.250
42853-01,CNSUZCYY1003E,ge-0/0/5.492,10.122.3.13,10.122.3.14
42834-01,CNSUZCYY1003E,ge-0/0/7.404,10.122.0.241,10.122.0.242
42836-01,CNSUZCYY1003E,ge-0/0/7.405,10.122.1.17,10.122.1.18
42837-01,CNSUZCYY1003E,ge-0/0/5.491,62.5.101.65,62.5.101.66
43213-01,CNSUZCYY1003E,ge-0/0/7.408,10.254.0.77,10.254.0.78
43275-01,CNSUZCYY1003E,ge-0/0/7.406,10.122.8.93,10.122.8.94
43815-01,CNSUZCYY1003E,ge-0/0/7.411,10.122.82.49,10.122.82.50
43963-01,CNSUZCYY1003E,ge-0/0/7.413,10.117.159.61,10.117.159.62
44023-01,CNSUZCYY1003E,ge-0/0/7.414,10.117.88.53,10.117.88.54
43969-01,CNSUZCYY1003E,ge-0/0/7.416,192.168.11.73,192.168.11.74
44112-01,CNSUZCYY1003E,ge-0/0/5.435,10.122.61.245,10.122.61.246
44055-01,CNSUZCYY1003E,ge-0/0/7.417,100.65.0.29,100.65.0.30
44245-01,CNSUZCYY1003E,ge-0/0/7.418,10.95.37.49,10.95.37.50
19701-03,CNSUZCYY1003E,ge-0/0/7.419,172.22.63.33,172.22.63.34
37856-02,CNSUZCYY1004E,ge-0/1/1.349,10.172.122.49,10.172.122.50
44569-01,CNSUZCYY1003E,ge-0/0/7.420,10.122.84.5,10.122.84.6
33944-03,CNSUZCYY1004E,ge-0/1/1.318,10.117.187.33,10.117.187.34
42982-02,CNSUZCYY1003E,ge-0/0/7.403,10.122.38.193,10.122.38.194
37674-02,CNSUZCYY1003E,ge-0/0/7.421,10.117.236.141,10.117.236.142
32770-02,CNSUZCYY1004E,ge-0/1/1.320,10.117.167.49,10.117.167.50
34228-02,CNSUZCYY1004E,ge-0/1/1.323,10.125.254.1,10.125.254.2
24933-03,CNSUZCYY1003E,ge-0/0/0.2012,10.51.4.33,10.51.4.34
42261-02,CNSUZCYY1003E,ge-0/0/5.485,10.122.40.129,10.122.40.130
25228-04,CNSUZCYY1003E,ge-0/0/0.2025,10.114.199.21,10.114.199.22
40216-02,CNSUZCYY1004E,ge-0/1/0.1123,10.117.236.1,10.117.236.2
37895-02,CNSUZCYY1004E,ge-0/0/5.0,172.21.7.106,172.21.7.105
44991-01,CNSUZCYY1003E,ge-0/0/7.422,172.30.12.10,172.30.12.9
45084-01,CNSUZCYY1003E,ge-0/0/7.423,10.11.254.66,10.11.254.65
45343-01,CNSUZCYY1003E,ge-0/0/7.424,10.117.137.1,10.117.137.2
45457-01,CNSUZCYY1003E,ge-0/0/7.425,10.117.137.189,10.117.137.190
39517-02,CNSUZCYY1003E,ge-0/0/0.2009,10.122.3.241,10.122.3.242
45586-01,CNSUZCYY1003E,ge-0/0/7.428,172.20.254.73,172.20.254.74
38910-02,CNSUZCYY1003E,ge-0/0/5.462,62.5.101.89,62.5.101.90
45886-01,CNSUZCYY1003E,ge-0/0/7.430,172.16.0.162,172.16.0.161
43765-02,CNSUZCYY1003E,ge-0/0/7.410,10.117.86.165,10.117.86.166
39933-02,CNSUZCYY1003E,ge-0/0/5.467,10.117.203.125,10.117.203.126
38528-03,CNSUZCYY1003E,ge-0/0/7.432,172.21.0.53,172.21.0.54
30372-02,CNSUZCYY1003E,ge-0/0/7.431,10.117.135.5,10.117.135.6
49625-01,CNSUZCYY1003E,ge-0/0/7.441,10.117.179.1,10.117.179.2
50026-01,CNSUZCYY1003E,ge-0/0/5.438,10.212.185.93,10.212.185.94
45438-02,CNSUZCYY1003E,ge-0/0/7.426,100.65.1.21,100.65.1.22
49917-01,CNSUZCYY1003E,ge-0/0/7.433,10.210.240.5,10.210.240.6
40582-02,CNSUZCYY1003E,ge-0/0/0.2019,10.122.9.65,10.122.9.66
50286-01,CNSUZCYY1003E,ge-0/0/2,172.16.15.1,172.16.15.2
34606-03,CNSUZCYY1003E,ge-0/0/5.449,62.5.101.217,62.5.101.218
22375-06,CNSUZCYY1003E,ge-0/0/7.436,10.122.106.229,10.122.106.230
38157-02,CNSUZCYY1004E,ge-0/1/1.356,10.117.239.121,10.117.239.122
50359-01,CNSUZCYY1003E,ge-0/0/7.438,10.122.101.213,10.122.101.214
50432-01,CNSUZCYY1003E,ge-0/0/7.437,192.168.228.33,192.168.228.34
50382-01,CNSUZCYY1003E,ge-0/0/7.435,10.117.83.193,10.117.83.194
24379-02,CNSUZCYY1003E,ge-0/0/7.434,10.117.63.25,10.117.63.26
13042-06,CNSUZCYY1003E,ge-0/0/7.409,10.114.87.141,10.114.87.142
50483-01,CNSUZCYY1003E,ge-0/0/7.440,172.30.136.1,172.30.136.2
50518-01,CNSUZCYY1003E,ge-0/0/7.442,10.117.83.53,10.117.83.54
50495-01,CNSUZCYY1003E,ge-0/0/7.439,10.122.11.161,10.122.11.162
50609-01,CNSUZCYY1003E,ge-0/0/7.443,10.117.143.41,10.117.143.42
50816-01,CNSUZCYY1003E,ge-0/0/7.444,172.31.201.173,172.31.201.174
50903-01,CNSUZCYY1003E,ge-0/0/7.407,192.168.102.97,192.168.102.98
51029-01,CNSUZCYY1003E,ge-0/0/7.415,10.122.106.33,10.122.106.34
39236-02,CNSUZCYY1003E,ge-0/0/5.448,10.117.182.169,10.117.182.170
51115-01,CNSUZCYY1003E,ge-0/0/7.445,10.122.101.201,10.122.101.202
41925-02,CNSUZCYY1003E,ge-0/0/7.401,10.122.37.37,10.122.37.38
45452-02,CNSUZCYY1003E,ge-0/0/7.427,10.252.22.105,10.252.22.106
51251-01,CNSUZCYY1003E,ge-0/0/7.447,192.168.33.245,192.168.33.246
51488-01,CNSUZCYY1003E,ge-0/0/7.449,192.168.102.177,192.168.102.178
51504-01,CNSUZCYY1004E,ge-0/1/1.302,100.65.0.73,100.65.0.74
41717-02,CNSUZCYY1003E,ge-0/0/5.482,10.122.39.169,10.122.39.170
51422-01,CNSUZCYY1003E,ge-0/0/7.450,10.117.218.161,10.117.218.162
51711-01,CNSUZCYY1003E,ge-0/0/7.451,10.122.106.97,10.122.106.98
45833-02,CNSUZCYY1004E,ge-0/1/1.303,192.168.176.153,192.168.176.154
51992-01,CNSUZCYY1003E,ge-0/0/7.453,10.117.85.37,10.117.85.38
52147-01,CNSUZCYY1003E,ge-0/0/7.429,10.122.115.249,10.122.115.250
52367-01,CNSUZCYY1003E,ge-0/0/7.452,10.117.181.121,10.117.181.122
39777-02,CNSUZCYY1003E,ge-0/0/5.465,10.117.239.201,10.117.239.202
52480-01,CNSUZCYY1003E,ge-0/0/7.454,10.122.61.5,10.122.61.6
37159-02,CNSUZCYY1004E,ge-0/1/1.301,172.24.16.1,172.24.16.2
52585-01,CNSUZCYY1003E,ge-0/0/7.455,10.122.101.145,10.122.101.146
34922-03,CNSUZCYY1004E,ge-0/1/1.331,10.117.181.229,10.117.181.230
