INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
23257-01,CNSUZCYY1001E,ds-0/3/0:25:1,10.117.31.105,10.117.31.106
20809-02,CNSUZCYY1001E,ds-0/2/0:60:1,10.117.2.205,10.117.2.206
22568-02,CNSUZCYY1001E,ge-1/1/0.149,10.114.25.37,10.114.25.38
24076-01,CNSUZCYY1003E,ge-0/0/0.2015,172.16.224.78,172.16.224.77
24328-01,CNSUZCYY1003E,ge-0/0/0.2011,172.30.51.5,172.30.51.6
19703-02,CNSUZCYY1003E,ge-0/0/0.2022,10.222.144.105,10.222.144.106
26280-01,CNSUZCYY1001E,ds-0/2/0:8:1,10.117.87.9,10.117.87.10
20122-02,CNSUZCYY1003E,ge-0/0/0.2033,172.30.31.9,172.30.31.10
20123-02,CNSUZCYY1003E,ge-0/0/0.2030,172.30.31.13,172.30.31.14
22856-02,CNSUZCYY1003E,ge-0/0/0.2038,10.117.23.61,10.117.23.62
28203-01,CNSUZCYY1001E,ds-0/2/0:15:1,10.117.120.189,10.117.120.190
28866-01,CNSUZCYY1003E,ge-0/0/0.2036,10.114.191.133,10.114.191.134
28960-01,CNSUZCYY1001E,ds-0/2/0:14:1,192.168.203.93,192.168.203.94
24512-02,CNSUZCYY1001E,ds-0/3/0:39:1,10.117.63.249,10.117.63.250
29271-01,CNSUZCYY1001E,ds-0/2/0:20:1,10.117.138.29,10.117.138.30
29479-01,CNSUZCYY1004E,ge-0/1/1.306,10.129.0.17,10.129.0.18
29868-01,CNSUZCYY1004E,ge-0/1/1.305,10.117.137.29,10.117.137.30
26236-02,CNSUZCYY1004E,ge-0/1/0.1106,10.212.185.49,10.212.185.50
29492-02,CNSUZCYY1004E,ge-0/1/1.307,100.65.0.81,100.65.0.82
28182-02,CNSUZCYY1003E,ge-0/0/0.2039,152.101.22.73,152.101.22.74
32024-01,CNSUZCYY1004E,ge-0/1/1.311,10.33.34.5,10.33.34.6
17017-02,CNSUZCYY1001E,ds-0/2/0:6:1,192.168.14.170,192.168.14.169
32669-01,CNSUZCYY1004E,ge-0/1/1.317,10.117.179.97,10.117.179.98
33168-01,CNSUZCYY1001E,ds-0/2/0:4:1.100,172.29.200.65,172.29.200.66
29070-02,CNSUZCYY1001E,ds-0/2/0:22:1,10.117.134.17,10.117.134.18
33770-01,CNSUZCYY1004E,ge-0/1/1.315,10.117.84.61,10.117.84.62
34201-01,CNSUZCYY1001E,ds-0/2/0:1:1,10.117.185.165,10.117.185.166
34605-01,CNSUZCYY1004E,ge-0/1/1.325,40.141.238.113,40.141.238.114
34957-01,CNSUZCYY1004E,ge-0/1/1.326,10.117.203.201,10.117.203.202
35006-01,CNSUZCYY1001E,e1-0/2/0:23,10.117.204.29,10.117.204.30
35030-01,CNSUZCYY1001E,ds-0/2/0:10:1,10.117.204.73,10.117.204.74
35428-01,CNSUZCYY1004E,ge-0/1/1.332,10.27.1.61,10.27.1.62
28108-03,CNSUZCYY1003E,ge-0/0/0.2032,152.101.22.69,152.101.22.70
25966-03,CNSUZCYY1003E,ge-0/0/0.2003,172.16.3.25,172.16.3.26
28599-03,CNSUZCYY1004E,ge-0/1/0.1113,152.101.22.97,152.101.22.98
