INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
15760-04,CNGUZYUJ1001E,ds-2/0/0:56:1,10.114.218.85,10.114.218.86
30891-01,CNGUZYUJ1001E,ge-0/1/1.361,,
31205-01,CNGUZYUJ1001E,ds-2/0/0:57:1,10.117.141.213,10.117.141.214
31676-01,CNGUZYUJ1001E,ge-0/0/1.112,62.5.100.81,62.5.100.82
31897-01,CNGUZYUJ1001E,ds-1/0/0:13:1,172.30.252.1,172.30.252.2
18884-02,CNGUZYUJ1001E,ge-0/0/4.394,10.210.252.45,10.210.252.46
20997-02,CNGUZYUJ1001E,ge-0/1/1.345,10.117.3.185,10.117.3.186
31110-02,CNGUZYUJ1001E,ge-0/1/1.360,10.241.241.161,10.241.241.162
33737-01,CNGUZYUJ1001E,ds-2/0/0:13:1,10.117.85.201,10.117.85.202
35525-01,CNGUZYUJ1001E,ge-0/0/4.398,10.86.254.254,10.86.254.253
36185-01,CNGUZYUJ1001E,ge-0/0/4.403,10.118.5.113,10.118.5.114
15110-07,CNGUZYUJ1002E,ge-0/1/1.365,10.114.122.149,10.114.122.150
39233-01,CNGUZYUJ1002E,ge-0/1/4.315,10.117.249.249,10.117.249.250
31219-02,CNGUZYUJ1001E,ge-0/0/4.369,10.117.160.245,10.117.160.246
39438-01,CNGUZYUJ1002E,ge-0/1/4.331,10.117.220.125,10.117.220.126
17065-03,CNGUZYUJ1001E,ge-0/1/1.330,10.114.234.21,10.114.234.22
01558-06,CNGUZYUJ1001E,ge-0/1/1.315,10.114.20.129,10.114.20.130
40966-01,CNGUZYUJ1002E,ge-0/1/4.335,10.122.21.177,10.122.21.178
40852-01,CNGUZYUJ1002E,ge-0/1/4.333,10.117.31.193,10.117.31.194
20979-06,CNGUZYUJ1002E,ge-0/1/1.359,10.117.3.141,10.117.3.142
33527-02,CNGUZYUJ1002E,ge-0/1/4.341,10.117.181.33,10.117.181.34
41189-01,CNGUZYUJ1001E,ge-0/0/1.106,172.16.224.90,172.16.224.89
41411-01,CNGUZYUJ1002E,ge-0/1/4.345,192.168.222.173,192.168.222.174
11232-08,CNGUZYUJ1001E,ge-0/1/1.347,172.24.51.9,172.24.51.10
42394-01,CNGUZYUJ1002E,ge-0/1/4.348,10.117.121.197,10.117.121.198
42476-01,CNGUZYUJ1002E,ge-0/1/4.304,10.200.7.181,10.200.7.182
42843-01,CNGUZYUJ1001E,ge-0/0/1.132,62.5.102.37,62.5.102.38
38770-02,CNGUZYUJ1002E,ge-0/1/0.135,100.65.0.29,100.65.0.30
44137-01,CNGUZYUJ1002E,ge-0/1/4.353,10.122.82.245,10.122.82.246
34492-02,CNGUZYUJ1002E,ge-0/1/4.306,10.117.182.181,10.117.182.182
31440-02,CNGUZYUJ1001E,ds-2/0/0:1:1,10.117.167.25,10.117.167.26
45140-01,CNGUZKXC1001E,ge-0/0/3.313,10.122.84.65,10.122.84.66
41442-02,CNGUZYUJ1001E,ge-0/0/1.107,10.245.1.145,10.245.1.146
40469-02,CNGUZYUJ1002E,ge-0/1/0.117,10.117.159.85,10.117.159.86
38354-02,CNGUZYUJ1002E,ge-0/1/1.305,10.122.3.173,10.122.3.174
02840-06,CNGUZYUJ1002E,ge-0/1/4.346,10.114.31.229,10.114.31.230
49222-01,CNGUZKXC1001E,ge-0/0/3.314,10.117.255.37,10.117.255.38
49529-01,CNGUZKXC1002E,ge-0/0/4.522,192.168.158.242,192.168.158.241
39233-02,CNGUZYUJ1002E,ge-0/1/4.315,10.117.249.249,10.117.249.250
17297-04,CNGUZKXC1002E,e1-1/0/0:16.200,10.114.49.133,10.114.49.134
41411-02,CNGUZYUJ1002E,ge-0/1/4.345,192.168.222.173,192.168.222.174
26143-02,CNGUZYUJ1002E,ge-0/1/1.393,198.19.17.113,198.19.17.114
35166-02,CNGUZYUJ1001E,ge-0/0/4.392,10.1.129.73,10.1.129.74
