INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
37224-01,MYKULVAD1001E,ge-0/0/0.112,172.26.31.41,172.26.31.42
40180-01,MYKULVAD1001E,ge-1/0/0.100,10.117.89.161,10.117.89.162
41324-01,MYKULVAD1001E,ge-1/0/0.101,10.122.37.101,10.122.37.102
20750-04,MYKULVAD1001E,ge-0/0/0.111,10.117.1.209,10.117.1.210
41746-01,MYKULVAD1001E,ge-0/0/0.104,10.117.86.73,10.117.86.74
41748-01,MYKULVAD1001E,ge-1/0/0.104,10.117.159.5,10.117.159.6
25944-03,MYKULVAD1001E,ge-1/0/0.102,10.122.61.121,10.122.61.122
30019-02,MYKULVAD1001E,ge-1/0/0.105,10.117.136.177,10.117.136.178
49715-01,MYKULVAD1001E,ge-1/0/0.103,10.122.0.105,10.122.0.106
50672-01,MYKULVAD1001E,ge-1/0/0.106,10.117.181.97,10.117.181.98
