INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
20997-02,CNGUZYUJ1001E,ge-0/1/1.345,10.117.3.185,10.117.3.186
26129-04,CNGUZYUJ1001E,ge-0/1/1.319,10.117.85.197,10.117.85.198
35166-01,CNGUZYUJ1001E,ge-0/0/4.392,10.1.129.73,10.1.129.74
26354-03,CNGUZYUJ1002E,ge-0/1/1.410,192.168.6.133,192.168.6.134
41621-01,CNGUZYUJ1002E,ge-0/1/4.344,172.16.21.34,172.16.21.33
38354-02,CNGUZYUJ1002E,ge-0/1/1.305,10.122.3.173,10.122.3.174
03192-07,CNGUZYUJ1002E,ge-0/1/1.401,10.114.50.41,10.114.50.42
35166-02,CNGUZYUJ1001E,ge-0/0/4.392,10.1.129.73,10.1.129.74
