INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
14759-02,CNSHHTAF1004E,ge-0/0/7.817,10.114.178.153,10.114.178.154
22322-01,CNSHHTAF1004E,ge-0/0/7.826,10.255.201.73,10.255.201.74
21840-03,CNSHHTAF1004E,ge-0/0/7.775,10.114.160.197,10.114.160.198
22728-01,CNSHHTAF1004E,ge-0/0/7.868,10.255.201.45,10.255.201.46
22837-01,CNSHHTAF1004E,ge-0/0/7.862,172.24.249.30,172.24.249.29
24802-01,CNSHHTAF1004E,ge-0/0/7.871,10.117.69.41,10.117.69.42
12309-06,CNSHHTAF1004E,ge-0/0/7.853,10.3.34.2,10.3.34.1
20786-02,CNSHHTAF1004E,ge-0/0/7.880,172.19.20.17,172.19.20.18
23950-02,CNSHHTAF1004E,ge-0/0/7.834,10.212.185.41,10.212.185.42
16648-03,CNSHHTAF1004E,ge-0/0/7.860,163.157.13.241,163.157.13.242
20983-03,CNSHHTAF1004E,ge-0/0/7.886,10.117.3.165,10.117.3.166
16673-06,CNSHHTAF1004E,ge-0/0/7.759,163.157.13.201,163.157.13.202
32239-01,CNSHHTAF1004E,ge-0/0/7.755,10.117.81.141,10.117.81.142
33066-01,CNSHHTAF1004E,ge-0/0/7.773,10.117.182.221,10.117.182.222
33178-01,CNSHHTAF1004E,ge-0/0/7.800,10.164.20.73,10.164.20.78
22205-02,CNSHHTAF1004E,ge-0/0/7.833,172.30.78.33,172.30.78.34
33278-01,CNSHHTAF1004E,ge-0/0/7.798,192.168.223.141,192.168.223.142
33596-01,CNSHHTAF1004E,ge-0/0/7.830,172.22.192.37,172.22.192.38
33872-01,CNSHHTAF1004E,ge-0/0/7.151,172.21.0.18,172.21.0.17
33906-01,CNSHHTAF1004E,ge-0/0/7.894,192.168.193.6,192.168.193.5
01509-04,CNSHHTAF1004E,ge-0/0/7.795,10.114.21.77,10.114.21.78
05381-05,CNSHHTAF1004E,ge-0/0/7.852,10.114.72.185,10.114.72.186
25609-02,CNSHHTAF1004E,ge-0/0/7.857,10.117.79.37,10.117.79.38
23470-04,CNSHHTAF1004E,ge-0/0/7.873,10.117.32.189,10.117.32.190
34792-01,CNSHHTAF1004E,ge-0/0/7.854,10.127.12.13,10.127.12.14
35200-01,CNSHHTAF1004E,ge-0/0/7.864,115.31.253.113,115.31.253.114
36111-01,CNSHHTAF1004E,ge-0/0/7.869,10.184.0.70,10.184.0.69
33206-03,CNSHHTAF1004E,ge-0/0/7.899,10.43.8.37,10.43.8.38
19457-02,CNSHHTAF1004E,ge-0/0/7.753,172.18.2.25,172.18.2.26
36446-01,CNSHHTAF1004E,ge-0/0/7.849,10.184.0.154,10.184.0.153
36851-01,CNSHHTAF1004E,ge-0/0/7.895,62.5.101.9,62.5.101.10
23293-05,CNSHHTAF1004E,ge-0/0/7.779,10.117.31.189,10.117.31.190
26148-02,CNSHHTAF1004E,ge-0/0/7.752,10.117.86.1,10.117.86.2
36977-01,CNSHHTAF1004E,ge-0/0/7.851,10.117.219.221,10.117.219.222
37038-01,CNSHHTAF1004E,ge-0/0/7.844,10.235.0.1,10.235.0.2
03457-06,CNSHHTAF1004E,ge-0/0/7.783,10.114.51.141,10.114.51.142
37151-01,CNSHHTAF1004E,ge-0/0/7.837,10.117.203.21,10.117.203.22
37282-01,CNSHHTAF1004E,ge-0/0/7.805,10.117.219.217,10.117.219.218
37293-01,CNSHHTAF1004E,ge-0/0/7.810,172.16.253.129,172.16.253.130
37538-01,CNSHHTAF1004E,ge-0/0/7.765,10.0.0.17,10.0.0.18
37551-01,CNSHHTAF1004E,ge-0/0/7.809,10.172.122.77,10.172.122.78
37588-01,CNSHHTAF1004E,ge-0/0/7.767,10.66.0.10,10.66.0.9
33025-02,CNSHHTAF1004E,ge-0/0/7.782,10.129.1.33,10.129.1.34
30303-03,CNSHHTAF1004E,ge-0/0/7.788,10.239.56.157,10.239.56.158
37884-01,CNSHHTAF1004E,ge-0/0/7.792,62.5.100.53,62.5.100.54
22101-02,CNSHHTAF1004E,ge-0/0/7.814,10.117.18.61,10.117.18.62
37094-02,CNSHHTAF1004E,ge-0/0/7.757,192.168.44.82,192.168.44.81
17416-04,CNSHHTAF1004E,ge-0/0/7.889,172.25.246.73,172.25.246.74
34811-02,CNSHHTAF1004E,ge-0/0/7.856,10.131.253.6,10.131.253.5
37096-02,CNSHHTAF1004E,ge-0/0/7.842,10.117.188.137,10.117.188.138
23046-02,CNSHHTAF1004E,ge-0/0/7.787,10.117.27.233,10.117.27.234
22309-04,CNSHHTAF1004E,ge-0/0/7.763,10.117.19.197,10.117.19.198
32970-03,CNSHHTAF1004E,ge-0/0/7.771,10.202.6.226,10.202.6.225
37253-02,CNSHHTAF1004E,ge-0/0/7.803,10.117.140.5,10.117.140.6
18695-05,CNSHHTAF1004E,ge-0/0/7.828,218.96.141.21,218.96.141.22
19288-05,CNSHHTAF1004E,ge-0/0/7.890,192.168.49.137,192.168.49.138
32820-02,CNSHHTAF1004E,ge-0/0/7.778,10.117.181.185,10.117.181.186
30442-03,CNSHHTAF1004E,ge-0/0/7.846,10.114.221.225,10.114.221.226
33106-02,CNSHHTAF1004E,ge-0/0/7.772,10.250.136.17,10.250.136.18
33922-02,CNSHHTAF1004E,ge-0/0/7.839,172.24.24.33,172.24.24.34
31776-03,CNSHHTAF1004E,ge-0/0/7.751,10.117.193.145,10.117.193.146
37550-02,CNSHHTAF1004E,ge-0/0/7.811,10.172.122.57,10.172.122.58
33965-02,CNSHHTAF1004E,ge-0/0/7.840,152.177.126.69,152.177.126.70
