INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
31836-01,HKHKGMEI1004E,ge-0/0/3.2202,10.94.3.117,10.94.3.118
33605-01,HKHKGMEI1004E,ge-0/0/3.2232,10.3.145.54,10.3.145.53
36727-01,HKHKGMEI1004E,ge-0/0/3.2250,10.6.160.18,10.6.160.17
35772-02,HKHKGMEI1004E,ge-0/0/3.2247,100.64.81.82,100.64.81.81
37483-01,HKHKGMEI1004E,ge-0/0/3.2220,10.94.35.26,10.94.35.25
33728-05,HKHKGMEI1004E,ge-0/0/3.2217,10.194.255.194,10.194.255.193
39128-01,HKHKGMEI1004E,ge-0/0/3.2260,10.77.219.118,10.77.219.117
33250-02,HKHKGMEI1004E,ge-0/0/3.2207,10.205.16.150,10.205.16.149
40228-01,HKHKGMEI1004E,ge-0/0/3.2285,10.6.215.150,10.6.215.149
33241-03,HKHKGMEI1004E,ge-0/0/3.2206,10.1.112.162,10.1.112.161
34598-02,HKHKGMEI1004E,ge-0/0/3.2227,10.77.122.98,10.77.122.97
43590-01,HKHKGMEI1004E,ge-0/0/3.2237,10.124.77.94,10.124.77.93
43691-01,HKHKGMEI1004E,ge-0/0/3.2238,10.124.81.130,10.124.81.129
33920-02,HKHKGMEI1004E,ge-0/0/3.2286,121.241.58.54,121.241.58.53
44401-01,HKHKGMEI1004E,ge-0/0/3.2270,10.124.94.62,10.124.94.61
44807-01,HKHKGMEI1004E,ge-0/0/3.2287,10.8.22.18,10.8.22.17
39613-02,HKHKGMEI1004E,ge-0/0/3.2282,10.81.93.142,10.81.93.141
44933-01,HKHKGMEI1004E,ge-0/0/3.2233,10.124.110.18,10.124.110.17
31698-04,HKHKGMEI1004E,ge-0/0/3.2201,10.121.128.137,10.121.128.138
49433-01,HKHKGMEI1004E,ge-0/0/3.2289,10.124.147.166,10.124.147.165
37488-04,HKHKGMEI1004E,ge-0/0/3.2263,14.141.238.102,14.141.238.101
34825-10,HKHKGMEI1004E,ge-0/0/3.2235,10.245.0.70,10.245.0.69
