INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
23057-01,CNGUZYUJ1001E,ge-0/1/1.335,172.23.14.245,172.23.14.246
29766-01,CNGUZKXC1002E,ge-0/0/4.517,10.117.136.129,10.117.136.130
30737-01,CNGUZKXC1002E,ds-1/0/0:5:1,10.117.139.5,10.117.139.6
30891-01,CNGUZYUJ1001E,ge-0/1/1.361,,
28318-02,CNGUZYUJ1002E,ge-0/1/0.200,62.5.103.101,62.5.103.102
31897-01,CNGUZYUJ1001E,ds-1/0/0:13:1,172.30.252.1,172.30.252.2
32739-01,CNGUZYUJ1001E,ge-0/0/4.375,192.168.10.1,192.168.10.2
31110-02,CNGUZYUJ1001E,ge-0/1/1.360,10.241.241.161,10.241.241.162
33737-01,CNGUZYUJ1001E,ds-2/0/0:13:1,10.117.85.201,10.117.85.202
33951-01,CNGUZYUJ1002E,ge-0/1/1.302,10.117.187.53,10.117.187.54
33203-02,CNGUZYUJ1001E,ge-0/0/7.1304,10.35.0.21,10.35.0.22
34219-01,CNGUZYUJ1001E,ge-0/1/1.329,87.85.32.113,87.85.32.114
35525-01,CNGUZYUJ1001E,ge-0/0/4.398,10.86.254.254,10.86.254.253
12935-06,CNGUZYUJ1002E,ge-0/1/1.369,10.114.114.73,10.114.114.74
36471-01,CNGUZYUJ1001E,ge-0/0/4.406,10.117.217.225,10.117.217.226
22850-03,CNGUZYUJ1001E,ge-0/1/1.321,10.117.23.201,10.117.23.202
20412-04,CNGUZYUJ1002E,ge-0/1/4.328,172.20.0.77,172.20.0.78
26354-03,CNGUZYUJ1002E,ge-0/1/1.410,192.168.6.133,192.168.6.134
37918-01,CNGUZYUJ1001E,ge-0/0/4.380,10.117.232.165,10.117.232.166
02448-05,CNGUZYUJ1001E,ge-0/1/1.316,10.114.31.145,10.114.31.146
29343-02,CNGUZYUJ1001E,ds-2/0/0:15:1,10.117.138.105,10.117.138.106
32148-02,CNGUZYUJ1001E,ge-0/0/4.374,10.117.166.129,10.117.166.130
32279-02,CNGUZYUJ1001E,ge-0/0/1.504,,
41621-01,CNGUZYUJ1002E,ge-0/1/4.344,172.16.21.34,172.16.21.33
25242-03,CNGUZYUJ1001E,ge-0/0/4.382,10.117.74.73,10.117.74.74
27560-05,CNGUZYUJ1001E,ge-0/0/0.219,62.5.102.97,62.5.102.98
11232-08,CNGUZYUJ1001E,ge-0/1/1.347,172.24.51.9,172.24.51.10
30895-02,CNGUZYUJ1001E,ge-0/0/1.111,100.65.2.197,100.65.2.198
22784-04,CNGUZYUJ1001E,ge-0/1/1.331,10.146.252.61,10.146.252.62
42353-01,CNGUZYUJ1001E,ge-0/0/4.409,10.16.8.53,10.16.8.54
33612-02,CNGUZYUJ1002E,ge-0/1/0.104,198.19.196.225,198.19.196.226
42843-01,CNGUZYUJ1001E,ge-0/0/1.132,62.5.102.37,62.5.102.38
43169-01,CNGUZYUJ1001E,ge-0/1/1.301,10.122.61.61,10.122.61.62
16682-04,CNGUZYUJ1002E,ge-0/1/4.320,10.114.218.189,10.114.218.190
41011-02,CNGUZYUJ1002E,ge-0/1/4.337,10.167.254.66,10.167.254.65
43932-01,CNGUZYUJ1001E,ge-0/0/6.508,10.95.37.17,10.95.37.18
34492-02,CNGUZYUJ1002E,ge-0/1/4.306,10.117.182.181,10.117.182.182
29850-04,CNGUZYUJ1002E,ge-0/1/1.326,62.5.100.1,62.5.100.2
25960-02,CNGUZKXC1002E,e1-1/0/0:32,10.51.4.157,10.51.4.158
32442-02,CNGUZYUJ1002E,ge-0/1/1.301,10.117.179.233,10.117.179.234
17188-04,CNGUZYUJ1002E,ge-0/1/4.329,10.114.44.73,10.114.44.74
24946-04,CNGUZKXC1001E,ge-0/0/1.322,10.51.4.25,10.51.4.26
33842-03,CNGUZYUJ1002E,ge-0/1/0.122,111.92.198.125,111.92.198.126
26077-03,CNGUZKXC1001E,ge-0/0/3.362,10.117.85.133,10.117.85.134
37581-03,CNGUZYUJ1001E,ge-0/0/6.504,10.172.122.105,10.172.122.106
43853-02,CNGUZYUJ1002E,ge-0/1/4.327,10.122.62.121,10.122.62.122
10577-03,CNGUZYUJ1001E,ds-1/0/0:43:1,10.114.76.141,10.114.76.142
42017-02,CNGUZYUJ1001E,ge-0/0/4.376,10.122.0.253,10.122.0.254
28318-03,CNGUZYUJ1002E,ge-0/1/0.200,62.5.103.101,62.5.103.102
50688-01,CNGUZYUJ1001E,ge-0/1/1.308,10.117.187.241,10.117.187.242
33203-03,,,,
30737-02,,,,
