INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
15760-04,CNGUZYUJ1001E,ds-2/0/0:56:1,10.114.218.85,10.114.218.86
26922-01,CNGUZYUJ1001E,ds-2/0/0:39:1,10.117.85.173,10.117.85.174
27024-01,CNGUZYUJ1001E,ds-2/0/0:30:1,10.117.88.65,10.117.88.66
30891-01,CNGUZYUJ1001E,ge-0/1/1.361,,
31062-01,CNGUZYUJ1001E,ge-0/0/1.110,62.5.101.25,62.5.101.26
31897-01,CNGUZYUJ1001E,ds-1/0/0:13:1,172.30.252.1,172.30.252.2
33203-02,CNGUZYUJ1001E,ge-0/0/7.1304,10.35.0.21,10.35.0.22
35166-01,CNGUZYUJ1001E,ge-0/0/4.392,10.1.129.73,10.1.129.74
12935-06,CNGUZYUJ1002E,ge-0/1/1.369,10.114.114.73,10.114.114.74
37918-01,CNGUZYUJ1001E,ge-0/0/4.380,10.117.232.165,10.117.232.166
38908-01,CNGUZYUJ1001E,ge-0/0/0.116,62.5.101.77,62.5.101.78
39233-01,CNGUZYUJ1002E,ge-0/1/4.315,10.117.249.249,10.117.249.250
29343-02,CNGUZYUJ1001E,ds-2/0/0:15:1,10.117.138.105,10.117.138.106
17065-03,CNGUZYUJ1001E,ge-0/1/1.330,10.114.234.21,10.114.234.22
31793-02,CNGUZYUJ1001E,ge-0/0/4.379,198.19.56.97,198.19.56.98
11232-08,CNGUZYUJ1001E,ge-0/1/1.347,172.24.51.9,172.24.51.10
34857-02,CNGUZYUJ1001E,ge-0/0/4.387,10.117.121.141,10.117.121.142
26893-02,CNGUZKXC1002E,ds-1/0/0:18:1,10.117.82.205,10.117.82.206
49225-01,CNGUZKXC1001E,ge-0/0/3.311,10.117.204.209,10.117.204.210
27380-05,CNGUZYUJ1001E,ge-0/1/1.327,10.117.88.81,10.117.88.82
39233-02,CNGUZYUJ1002E,ge-0/1/4.315,10.117.249.249,10.117.249.250
41185-02,CNGUZKXC1002E,ge-0/0/4.528,10.122.9.25,10.122.9.26
42017-02,CNGUZYUJ1001E,ge-0/0/4.376,10.122.0.253,10.122.0.254
33203-03,,,,
35166-02,CNGUZYUJ1001E,ge-0/0/4.392,10.1.129.73,10.1.129.74
