INTERNALSITEID,PEROUTER,PEPORT,PE_WAN_IP,CE_WAN_IP
26922-01,CNGUZYUJ1001E,ds-2/0/0:39:1,10.117.85.173,10.117.85.174
27028-01,CNGUZKXC1002E,ds-1/0/0:22:1,10.117.88.77,10.117.88.78
31205-01,CNGUZYUJ1001E,ds-2/0/0:57:1,10.117.141.213,10.117.141.214
31897-01,CNGUZYUJ1001E,ds-1/0/0:13:1,172.30.252.1,172.30.252.2
12935-06,CNGUZYUJ1002E,ge-0/1/1.369,10.114.114.73,10.114.114.74
26354-03,CNGUZYUJ1002E,ge-0/1/1.410,192.168.6.133,192.168.6.134
37918-01,CNGUZYUJ1001E,ge-0/0/4.380,10.117.232.165,10.117.232.166
40911-01,CNGUZYUJ1002E,ge-0/1/4.340,10.122.21.89,10.122.21.90
20979-06,CNGUZYUJ1002E,ge-0/1/1.359,10.117.3.141,10.117.3.142
31793-02,CNGUZYUJ1001E,ge-0/0/4.379,198.19.56.97,198.19.56.98
11232-08,CNGUZYUJ1001E,ge-0/1/1.347,172.24.51.9,172.24.51.10
43324-01,CNGUZYUJ1001E,ge-0/0/6.511,100.69.49.225,100.69.49.226
29850-04,CNGUZYUJ1002E,ge-0/1/1.326,62.5.100.1,62.5.100.2
